x,y,w,h,aspect_ratio,ground_truth,predicted
136,68,54,54,1.0,right,center
141,67,52,52,1.0,right,center
54,67,51,51,1.0,left,center
49,63,50,50,1.0,left,center
135,62,53,53,1.0,right,center
138,67,53,53,1.0,right,center
51,67,51,51,1.0,left,center
55,69,50,50,1.0,left,center
141,68,53,53,1.0,right,center
51,64,50,50,1.0,left,right
137,63,53,53,1.0,right,center
49,63,51,51,1.0,left,center
135,62,53,53,1.0,right,center
50,65,53,53,1.0,left,right
138,65,53,53,1.0,right,center
121,205,26,26,1.0,center,center
48,67,50,50,1.0,left,center
135,65,54,54,1.0,right,center
137,64,51,51,1.0,right,center
112,202,27,27,1.0,center,left
50,65,48,48,1.0,left,left
139,62,54,54,1.0,right,center
92,156,22,22,1.0,center,center
51,64,51,51,1.0,left,center
138,68,54,54,1.0,right,center
52,68,52,52,1.0,left,center
140,66,53,53,1.0,right,center
52,65,52,52,1.0,left,right
53,66,51,51,1.0,left,center
138,66,53,53,1.0,right,center
89,156,20,20,1.0,center,center
136,63,53,53,1.0,right,center
50,63,51,51,1.0,left,center
136,64,55,55,1.0,right,center
52,66,51,51,1.0,left,center
53,68,50,50,1.0,left,center
138,66,54,54,1.0,right,center
136,66,52,52,1.0,right,center
49,65,51,51,1.0,left,right
51,65,51,51,1.0,left,center
138,64,53,53,1.0,right,center
52,70,50,50,1.0,left,center
137,68,54,54,1.0,right,center
138,65,52,52,1.0,right,center
49,66,51,51,1.0,left,center
54,66,50,50,1.0,left,center
142,66,52,52,1.0,right,center
57,65,51,51,1.0,left,center
143,64,55,55,1.0,right,right
55,65,51,51,1.0,left,center
141,65,54,54,1.0,right,center
55,68,49,49,1.0,left,center
141,66,55,55,1.0,right,center
137,66,53,53,1.0,right,center
91,160,21,21,1.0,center,center
50,66,52,52,1.0,left,center
50,65,53,53,1.0,left,right
136,65,54,54,1.0,right,center
53,66,51,51,1.0,left,center
139,65,54,54,1.0,right,center
140,65,52,52,1.0,right,center
51,64,52,52,1.0,left,center
138,65,53,53,1.0,right,center
51,65,51,51,1.0,left,center
57,68,51,51,1.0,left,center
145,68,53,53,1.0,right,center
142,66,53,53,1.0,right,center
53,66,52,52,1.0,left,center
55,68,51,51,1.0,left,right
142,66,54,54,1.0,right,center
112,196,44,44,1.0,center,center
55,66,52,52,1.0,left,right
140,63,56,56,1.0,right,center
145,66,53,53,1.0,right,center
58,66,52,52,1.0,left,center
53,67,52,52,1.0,left,center
