x,y,w,h,eye_x,eye_y
574,141,298,298,663,250
574,141,298,298,781,251
574,141,298,298,689,247
574,134,301,301,781,251
574,134,301,301,663,250
576,141,293,293,664,249
576,141,293,293,780,251
575,141,295,295,780,251
575,141,295,295,664,250
573,141,297,297,663,249
573,141,297,297,777,251
575,138,295,295,661,248
575,138,295,295,777,251
573,140,295,295,778,250
573,140,295,295,661,248
576,145,289,289,776,250
576,145,289,289,660,248
572,143,296,296,658,249
572,143,296,296,775,250
565,140,300,300,657,249
565,140,300,300,773,250
565,140,300,300,630,252
570,142,297,297,774,251
570,142,297,297,656,249
568,139,300,300,654,249
568,139,300,300,772,249
563,140,300,300,653,249
563,140,300,300,773,250
567,140,298,298,769,249
567,140,298,298,657,249
565,139,298,298,652,250
565,139,298,298,770,249
569,141,295,295,657,249
569,141,295,295,772,250
569,141,295,295,746,252
569,141,295,295,627,251
561,136,304,304,659,250
561,136,304,304,772,250
564,140,301,301,773,250
564,140,301,301,658,249
565,141,300,300,657,249
565,141,300,300,775,251
565,141,300,300,752,247
570,143,295,295,775,250
570,143,295,295,660,250
570,143,295,295,752,249
573,143,293,293,658,250
573,143,293,293,776,251
570,142,295,295,776,251
570,142,295,295,655,250
570,142,295,295,679,251
575,144,291,291,660,250
575,144,291,291,777,252
579,147,284,284,658,250
579,147,284,284,778,253
576,144,291,291,658,250
576,144,291,291,777,252
576,144,291,291,744,251
574,142,293,293,659,250
574,142,293,293,777,251
576,143,291,291,777,251
576,143,291,291,659,251
576,143,291,291,660,251
576,143,291,291,778,251
575,144,291,291,661,250
575,144,291,291,778,251
574,143,291,291,778,252
574,143,291,291,662,249
578,143,290,290,776,252
578,143,290,290,663,249
581,141,293,293,781,252
581,141,293,293,666,251
581,141,293,293,687,252
588,144,284,284,784,253
588,144,284,284,667,250
588,144,284,284,754,256
588,141,286,286,667,251
588,141,286,286,784,252
590,144,286,286,669,252
590,144,286,286,784,254
590,144,286,286,756,254
578,142,293,293,669,252
578,142,293,293,784,254
588,141,288,288,785,253
588,141,288,288,669,252
588,141,288,288,696,253
585,137,293,293,785,255
585,137,293,293,668,253
585,137,293,293,692,253
585,140,291,291,670,253
585,140,291,291,785,255
585,140,291,291,756,253
588,141,289,289,669,253
588,141,289,289,692,255
588,141,289,289,785,254
586,143,291,291,673,253
586,143,291,291,789,256
587,143,291,291,670,253
587,143,291,291,788,256
587,143,291,291,699,254
584,139,296,296,787,255
584,139,296,296,672,253
584,135,301,301,789,255
584,135,301,301,671,252
584,135,301,301,671,252
584,135,301,301,788,255
584,135,301,301,697,251
584,137,298,298,787,254
584,137,298,298,671,252
585,139,293,293,674,251
585,139,293,293,788,253
585,139,293,293,757,257
582,137,298,298,669,246
582,137,298,298,786,248
585,134,298,298,669,243
585,134,298,298,785,247
582,132,298,298,672,240
582,132,298,298,782,244
583,125,302,302,747,241
583,125,302,302,673,238
583,125,302,302,781,240
585,123,287,287,668,230
585,123,287,287,777,232
585,123,287,287,746,233
586,118,270,270,661,221
586,118,270,270,769,225
586,118,270,270,743,226
581,109,275,275,733,216
581,109,275,275,737,218
581,109,275,275,761,218
581,109,275,275,655,217
577,106,262,262,731,206
577,106,262,262,751,212
577,106,262,262,721,210
577,106,262,262,649,212
583,118,229,229,741,208
583,118,229,229,660,209
571,113,232,232,712,206
571,113,232,232,732,206
571,113,232,232,628,212
581,122,213,213,721,207
500,187,220,220,647,270
500,187,220,220,563,285
510,172,223,223,660,259
510,172,223,223,572,272
509,158,235,235,671,251
585,82,280,280,664,208
585,82,280,280,684,200
567,92,293,293,765,211
567,92,293,293,656,214
570,97,280,280,663,212
570,97,280,280,762,212
570,97,280,280,725,209
585,103,268,268,656,207
585,103,268,268,727,205
585,103,268,268,758,205
584,90,280,280,765,201
584,90,280,280,655,202
599,74,255,255,685,178
599,74,255,255,666,181
599,74,255,255,784,185
594,69,255,255,670,181
594,69,255,255,776,183
575,99,293,293,669,217
575,99,293,293,777,220
568,84,318,318,665,216
568,84,318,318,779,221
557,104,283,283,706,219
557,104,283,283,754,216
557,104,283,283,656,216
549,100,288,288,745,215
549,100,288,288,627,219
549,100,288,288,696,213
549,100,288,288,650,217
542,99,290,290,693,214
542,99,290,290,735,216
542,99,290,290,652,215
537,102,287,287,735,216
537,102,287,287,690,214
537,102,287,287,618,221
534,101,287,287,688,213
534,101,287,287,730,216
534,101,287,287,620,224
533,107,282,282,727,217
533,107,282,282,614,223
533,107,282,282,637,222
535,107,287,287,694,218
535,107,287,287,731,217
535,107,287,287,616,224
539,96,295,295,694,210
539,96,295,295,735,213
539,96,295,295,615,219
544,98,293,293,742,215
544,98,293,293,650,218
544,98,293,293,702,213
544,98,293,293,623,222
548,99,293,293,745,215
548,99,293,293,688,365
548,99,293,293,627,220
548,99,293,293,652,217
548,99,293,293,704,215
546,94,304,304,707,217
546,94,304,304,651,215
546,94,304,304,751,216
546,94,304,304,627,220
549,101,293,293,751,216
549,101,293,293,656,218
549,101,293,293,630,219
551,104,293,293,754,218
551,104,293,293,719,218
551,104,293,293,656,217
548,103,295,295,714,220
553,105,289,289,711,220
553,105,289,289,750,220
553,105,289,289,656,221
550,105,291,291,711,218
550,105,291,291,752,221
550,105,291,291,656,222
550,105,291,291,629,223
547,105,295,295,709,218
547,105,295,295,751,221
547,105,295,295,644,222
541,107,295,295,748,223
541,107,295,295,633,224
541,107,295,295,702,220
541,107,295,295,661,224
537,108,296,296,699,221
537,108,296,296,644,226
537,108,296,296,743,222
537,108,296,296,620,226
507,108,293,293,711,220
507,108,293,293,601,228
493,111,290,290,695,220
493,111,290,290,596,229
489,109,298,298,686,223
489,109,298,298,573,232
471,106,312,312,676,225
471,106,312,312,566,235
479,112,297,297,679,226
479,112,297,297,568,234
493,115,290,290,687,225
493,115,290,290,575,232
504,120,288,288,702,227
504,120,288,288,588,231
517,119,285,285,712,227
520,116,298,298,608,234
520,116,298,298,727,230
530,127,286,286,733,235
530,127,286,286,608,238
530,127,286,286,685,239
534,123,297,297,742,238
534,123,297,297,642,237
542,133,293,293,746,240
542,133,293,293,642,239
542,133,293,293,646,243
542,133,293,293,620,245
541,128,302,302,749,241
541,128,302,302,646,243
541,128,302,302,622,244
548,130,297,297,752,242
548,130,297,297,643,242
544,125,301,301,627,242
544,125,301,301,752,243
544,125,301,301,652,243
542,132,298,298,752,243
542,132,298,298,642,244
547,134,297,297,752,246
547,134,297,297,645,246
538,130,308,308,642,247
538,130,308,308,752,246
542,130,307,307,647,248
542,130,307,307,754,247
544,125,318,318,759,248
544,125,318,318,642,247
552,136,300,300,762,248
552,136,300,300,651,249
552,135,302,302,762,248
552,135,302,302,646,249
552,135,302,302,721,255
555,136,299,299,645,248
555,136,299,299,762,248
555,136,295,295,648,248
555,136,295,295,762,247
553,132,301,301,761,247
553,132,301,301,660,249
554,133,301,301,764,248
554,133,301,301,658,247
560,136,295,295,765,248
560,136,295,295,658,247
556,136,300,300,767,248
556,136,300,300,660,246
561,133,297,297,767,247
561,133,297,297,647,248
561,133,297,297,670,246
560,134,295,295,769,247
560,134,295,295,656,246
563,137,291,291,767,247
563,137,291,291,660,246
561,136,291,291,764,247
561,136,291,291,665,247
561,136,291,291,636,248
561,136,293,293,764,247
561,136,293,293,661,247
559,130,297,297,764,246
559,130,297,297,741,252
559,130,297,297,662,246
555,129,297,297,763,243
555,129,297,297,646,244
555,131,295,295,648,242
555,131,295,295,759,242
555,131,295,295,615,244
550,132,297,297,759,243
550,132,297,297,646,243
550,132,297,297,614,242
553,132,293,293,758,241
553,132,293,293,638,242
550,131,297,297,639,242
550,131,297,297,757,240
548,128,297,297,753,240
548,128,297,297,639,242
548,128,297,297,608,245
543,129,296,296,634,242
543,129,296,296,753,241
