x,y,w,h,aspect_ratio,direction
521,66,303,303,1.0,right
521,67,303,303,1.0,right
524,67,299,299,1.0,right
520,65,303,303,1.0,right
519,63,308,308,1.0,right
518,63,308,308,1.0,left
520,65,303,303,1.0,right
522,66,301,301,1.0,right
519,66,306,306,1.0,right
520,63,308,308,1.0,right
519,61,312,312,1.0,right
522,66,301,301,1.0,right
524,69,296,296,1.0,right
521,68,303,303,1.0,right
517,61,314,314,1.0,right
523,65,301,301,1.0,right
525,67,290,290,1.0,left
508,48,290,290,1.0,right
521,62,266,266,1.0,right
522,57,269,269,1.0,right
519,63,266,266,1.0,right
518,62,264,264,1.0,right
519,65,257,257,1.0,right
498,47,280,280,1.0,right
509,49,269,269,1.0,right
505,47,280,280,1.0,right
511,51,276,276,1.0,right
528,57,263,263,1.0,right
531,68,263,263,1.0,right
531,68,263,263,1.0,right
523,61,280,280,1.0,right
523,61,280,280,1.0,right
520,62,284,284,1.0,right
524,65,274,274,1.0,right
524,65,274,274,1.0,left
522,69,275,275,1.0,right
522,69,275,275,1.0,left
522,69,275,275,1.0,center
519,71,276,276,1.0,right
520,74,272,272,1.0,right
520,74,272,272,1.0,left
517,76,274,274,1.0,right
515,75,276,276,1.0,right
515,75,276,276,1.0,left
515,75,276,276,1.0,left
517,80,275,275,1.0,right
512,74,280,280,1.0,left
512,74,280,280,1.0,right
512,74,280,280,1.0,right
511,74,282,282,1.0,right
511,74,282,282,1.0,left
510,75,282,282,1.0,right
510,75,282,282,1.0,left
511,75,279,279,1.0,right
511,75,279,279,1.0,left
511,75,279,279,1.0,left
508,73,284,284,1.0,right
508,73,284,284,1.0,left
508,72,286,286,1.0,left
508,72,286,286,1.0,right
510,78,280,280,1.0,right
510,78,280,280,1.0,left
509,72,284,284,1.0,right
509,72,284,284,1.0,left
507,73,284,284,1.0,left
507,73,284,284,1.0,right
506,73,285,285,1.0,right
506,73,285,285,1.0,left
507,73,284,284,1.0,right
507,73,284,284,1.0,left
511,78,279,279,1.0,right
511,78,279,279,1.0,left
510,75,279,279,1.0,right
510,75,279,279,1.0,left
511,73,279,279,1.0,left
511,73,279,279,1.0,right
510,77,279,279,1.0,right
510,77,279,279,1.0,left
514,75,279,279,1.0,right
514,75,279,279,1.0,left
513,76,280,280,1.0,left
513,76,280,280,1.0,right
517,78,273,273,1.0,right
517,78,273,273,1.0,left
513,74,280,280,1.0,right
513,74,280,280,1.0,left
511,78,279,279,1.0,right
511,78,279,279,1.0,left
507,74,285,285,1.0,right
507,74,285,285,1.0,left
510,76,283,283,1.0,right
510,76,283,283,1.0,left
512,76,282,282,1.0,right
512,76,282,282,1.0,left
509,76,282,282,1.0,right
509,76,282,282,1.0,left
510,78,282,282,1.0,left
510,78,282,282,1.0,right
509,78,282,282,1.0,right
509,78,282,282,1.0,left
506,77,284,284,1.0,right
506,77,284,284,1.0,left
506,77,284,284,1.0,center
507,76,285,285,1.0,left
507,76,285,285,1.0,right
507,79,282,282,1.0,right
507,79,282,282,1.0,left
507,79,282,282,1.0,right
508,79,280,280,1.0,right
508,79,280,280,1.0,left
509,79,282,282,1.0,right
509,79,282,282,1.0,left
509,79,282,282,1.0,left
505,76,287,287,1.0,right
505,76,287,287,1.0,left
508,78,282,282,1.0,right
508,78,282,282,1.0,left
509,78,285,285,1.0,right
509,78,285,285,1.0,left
511,78,282,282,1.0,right
511,78,282,282,1.0,left
510,78,282,282,1.0,right
510,78,282,282,1.0,left
510,78,282,282,1.0,left
510,80,282,282,1.0,right
510,80,282,282,1.0,right
510,80,282,282,1.0,left
512,81,279,279,1.0,right
512,81,279,279,1.0,left
512,81,279,279,1.0,center
504,75,289,289,1.0,right
504,75,289,289,1.0,left
510,76,286,286,1.0,right
510,76,286,286,1.0,left
513,79,279,279,1.0,right
513,79,279,279,1.0,center
513,79,279,279,1.0,left
511,81,277,277,1.0,right
511,81,277,277,1.0,left
511,79,280,280,1.0,right
511,79,280,280,1.0,left
509,78,285,285,1.0,left
509,78,285,285,1.0,right
517,85,275,275,1.0,right
517,85,275,275,1.0,left
514,79,280,280,1.0,right
514,79,280,280,1.0,right
514,79,280,280,1.0,left
514,80,279,279,1.0,right
514,80,279,279,1.0,left
509,80,283,283,1.0,right
509,80,283,283,1.0,left
509,80,283,283,1.0,right
508,79,282,282,1.0,right
508,79,282,282,1.0,left
508,78,283,283,1.0,right
508,78,283,283,1.0,left
506,78,287,287,1.0,left
506,78,287,287,1.0,right
508,79,285,285,1.0,right
508,79,285,285,1.0,left
504,77,285,285,1.0,right
504,77,285,285,1.0,left
505,78,286,286,1.0,right
505,78,286,286,1.0,left
508,81,282,282,1.0,right
508,81,282,282,1.0,right
508,81,282,282,1.0,left
512,79,283,283,1.0,right
512,79,283,283,1.0,left
508,79,282,282,1.0,right
506,80,285,285,1.0,right
506,80,285,285,1.0,left
506,80,285,285,1.0,left
506,80,285,285,1.0,right
506,80,285,285,1.0,left
507,78,285,285,1.0,right
507,78,285,285,1.0,left
504,77,285,285,1.0,left
504,77,285,285,1.0,right
504,75,288,288,1.0,right
504,75,288,288,1.0,left
504,75,288,288,1.0,left
504,76,288,288,1.0,right
504,76,288,288,1.0,left
504,76,288,288,1.0,left
506,79,283,283,1.0,right
506,79,283,283,1.0,left
505,77,285,285,1.0,right
508,81,282,282,1.0,right
508,81,282,282,1.0,right
508,80,282,282,1.0,right
509,81,279,279,1.0,right
509,81,279,279,1.0,right
509,81,280,280,1.0,right
505,77,287,287,1.0,right
505,77,287,287,1.0,right
510,80,280,280,1.0,right
507,78,285,285,1.0,right
507,78,285,285,1.0,left
505,78,284,284,1.0,right
505,78,284,284,1.0,left
507,79,283,283,1.0,right
507,79,283,283,1.0,left
504,79,286,286,1.0,right
504,79,286,286,1.0,left
500,76,291,291,1.0,right
500,76,291,291,1.0,left
500,75,291,291,1.0,right
500,75,291,291,1.0,left
504,77,288,288,1.0,left
504,77,288,288,1.0,right
