x,y,w,h,eye_x,eye_y
541,330,174,174,589,400
540,330,175,175,659,403
540,330,175,175,589,399
539,330,175,175,658,401
539,330,175,175,589,401
539,329,175,175,659,402
539,329,175,175,590,402
540,329,175,175,659,402
540,329,175,175,589,401
538,328,177,177,657,402
538,328,177,177,589,401
539,330,176,176,658,401
539,330,176,176,589,401
539,330,176,176,588,391
539,330,176,176,659,402
539,330,176,176,588,400
539,329,176,176,587,399
539,329,176,176,657,402
539,331,175,175,657,402
539,331,175,175,590,401
539,331,175,175,608,391
538,330,176,176,657,401
538,330,176,176,588,402
538,330,176,176,658,402
538,330,176,176,588,400
536,329,176,176,658,401
536,329,176,176,589,400
537,329,178,178,657,403
537,329,178,178,588,401
537,329,178,178,589,393
535,328,178,178,585,402
535,328,178,178,657,401
535,325,179,179,657,402
535,325,179,179,587,402
534,325,181,181,656,402
534,325,181,181,587,400
536,326,179,179,585,401
536,326,179,179,656,401
534,325,180,180,587,400
534,325,180,180,656,401
535,326,179,179,656,402
535,326,179,179,587,400
535,326,179,179,586,401
535,326,179,179,657,401
535,326,180,180,656,402
535,326,180,180,586,400
536,327,180,180,656,400
536,327,180,180,586,400
535,322,182,182,585,401
535,322,182,182,657,400
535,325,181,181,656,401
535,325,181,181,585,401
536,327,178,178,657,401
536,327,178,178,586,400
537,325,177,177,656,401
537,325,177,177,587,400
536,326,178,178,657,401
536,326,178,178,588,401
536,326,178,178,587,397
536,325,180,180,655,401
536,325,180,180,587,401
536,327,178,178,656,402
536,327,178,178,587,400
536,327,178,178,658,401
536,327,178,178,589,399
537,327,178,178,657,402
537,327,178,178,588,399
539,330,176,176,589,399
539,330,176,176,658,401
539,330,175,175,658,402
539,330,175,175,588,400
535,328,180,180,657,401
535,328,180,180,589,400
536,327,180,180,585,400
536,327,180,180,658,402
536,327,180,180,590,393
538,328,178,178,658,400
538,328,178,178,588,401
537,327,180,180,658,401
537,327,180,180,588,399
538,329,177,177,659,401
538,329,177,177,589,400
538,328,177,177,659,401
538,328,177,177,588,400
538,328,177,177,659,401
538,328,177,177,589,399
537,327,178,178,657,401
537,327,178,178,591,399
540,328,177,177,659,401
540,328,177,177,588,400
539,328,177,177,590,400
539,328,177,177,658,401
539,329,176,176,659,401
539,329,176,176,588,399
538,329,177,177,658,402
538,329,177,177,589,399
538,328,178,178,587,398
538,328,178,178,658,400
539,329,176,176,658,401
539,329,176,176,587,399
536,326,180,180,587,400
536,326,180,180,657,401
536,326,180,180,646,396
537,328,179,179,658,400
537,328,179,179,589,398
540,329,176,176,658,401
540,329,176,176,588,399
539,330,176,176,658,401
539,330,176,176,589,398
538,327,178,178,658,401
538,327,178,178,589,399
539,328,177,177,660,401
539,328,177,177,589,400
539,328,177,177,589,400
539,328,177,177,659,401
538,328,177,177,660,401
538,328,177,177,588,399
539,329,175,175,659,402
539,329,175,175,589,401
540,329,175,175,659,401
540,329,175,175,589,400
537,328,178,178,659,402
537,328,178,178,589,399
537,328,178,178,661,395
538,327,179,179,659,401
538,327,179,179,590,401
539,328,178,178,658,401
539,328,178,178,591,400
537,328,178,178,658,401
537,328,178,178,587,401
539,328,178,178,658,401
539,328,178,178,590,400
539,328,178,178,665,390
539,328,176,176,658,401
539,328,176,176,589,401
535,321,174,174,582,392
535,321,174,174,654,392
581,320,187,187,708,396
569,313,193,193,625,383
569,313,193,193,705,391
537,301,220,220,600,389
537,301,220,220,685,390
511,308,224,224,663,391
511,308,224,224,575,395
